2026-06-30 20:10:05,906 | INFO     | __main__ | Initialization Successful.
2026-06-30 20:10:05,907 | INFO     | __main__ | Logger initialized.
2026-06-30 20:10:05,907 | INFO     | __main__ | Configuration loaded.
2026-06-30 20:10:05,907 | INFO     | __main__ | Company watchlist loaded.
2026-06-30 20:10:05,907 | INFO     | __main__ | Project ready.
2026-07-01 22:17:23,445 | INFO     | __main__ | Initializing logger.
2026-07-01 22:17:23,446 | INFO     | __main__ | Configuration loaded.
2026-07-01 22:17:23,446 | INFO     | __main__ | Company watchlist loaded.
2026-07-01 22:19:58,949 | INFO     | __main__ | Initializing logger.
2026-07-01 22:19:58,950 | INFO     | __main__ | Configuration loaded.
2026-07-01 22:19:58,950 | INFO     | __main__ | Company watchlist loaded.
2026-07-01 22:20:08,210 | INFO     | __main__ | Initializing logger.
2026-07-01 22:20:08,211 | INFO     | __main__ | Configuration loaded.
2026-07-01 22:20:08,211 | INFO     | __main__ | Company watchlist loaded.
2026-07-01 22:21:44,885 | INFO     | __main__ | Initializing logger.
2026-07-01 22:21:44,886 | INFO     | __main__ | Configuration loaded.
2026-07-01 22:21:44,886 | INFO     | __main__ | Company watchlist loaded.
2026-07-02 16:46:39,039 | INFO     | __main__ | Initializing logger.
2026-07-02 16:46:39,060 | INFO     | __main__ | Configuration loaded.
2026-07-02 16:46:39,061 | INFO     | __main__ | Company watchlist loaded.
2026-07-02 16:46:39,188 | INFO     | rss_scraper | Generated 471 search queries
2026-07-02 16:46:39,189 | ERROR    | rss_scraper | Failed to fetch feed (attempt 1/3): https://news.google.com/rss/search?q=Sun+Pharmaceutical+Industries+accident+India — parse() got an unexpected keyword argument 'timeout'
2026-07-02 16:46:41,191 | ERROR    | rss_scraper | Failed to fetch feed (attempt 2/3): https://news.google.com/rss/search?q=Sun+Pharmaceutical+Industries+accident+India — parse() got an unexpected keyword argument 'timeout'
